Type;Location;Bedrooms;Parking;Suites;Area;Rent;Condo fee;City fee;Total Gross;Rent/Sqm;Total Gross/Sqm;House/Apart
Quitinete;Copacabana;1;0;0;40;1700.0;500.0;60.0;2260.0;42.5;56.5;Others
Casa;Jardim Botânico;2;0;1;100;7000.0;0.0;0.0;7000.0;70.0;70.0;House
Conjunto Comercial/Sala;Barra da Tijuca;0;4;0;150;5200.0;4020.0;1111.0;10331.0;34.67;68.87;Others
Apartamento;Centro;1;0;0;15;800.0;390.0;20.0;1210.0;53.33;80.67;Apartment
Apartamento;Higienópolis;1;0;0;48;800.0;230.0;0.0;1030.0;16.67;21.46;Apartment
Apartamento;Vista Alegre;3;1;0;70;1200.0;0.0;0.0;1200.0;17.14;17.14;Apartment
Apartamento;Cachambi;2;0;0;50;1300.0;301.0;17.0;1618.0;26.0;32.36;Apartment
Casa de Condomínio;Barra da Tijuca;5;4;5;750;22000.0;0.0;0.0;22000.0;29.33;29.33;House
Casa de Condomínio;Ramos;2;2;0;65;1000.0;0.0;0.0;1000.0;15.38;15.38;House
Conjunto Comercial/Sala;Centro;0;3;0;695;35000.0;19193.0;3030.0;57223.0;50.36;82.34;Others
Apartamento;Centro;1;0;0;36;1200.0;0.0;0.0;1200.0;33.33;33.33;Apartment
Apartamento;Grajaú;2;1;0;70;1500.0;642.0;74.0;2216.0;21.43;31.66;Apartment
Apartamento;Lins de Vasconcelos;3;1;1;90;1500.0;455.0;14.0;1969.0;16.67;21.88;Apartment
Apartamento;Copacabana;1;0;1;40;2000.0;561.0;50.0;2611.0;50.0;65.28;Apartment
Quitinete;Copacabana;1;0;0;27;1800.0;501.0;0.0;2301.0;66.67;85.22;Others
Apartamento;Copacabana;4;3;1;243;13000.0;2000.0;803.0;15803.0;53.5;65.03;Apartment
Prédio Inteiro;Botafogo;0;0;0;536;28000.0;0.0;3563.0;31563.0;52.24;58.89;Others
Flat;Botafogo;3;1;1;80;3800.0;1040.0;0.0;4840.0;47.5;60.5;Others
Casa de Condomínio;Taquara;3;1;1;115;2000.0;0.0;0.0;2000.0;17.39;17.39;House
Apartamento;Freguesia (Jacarepaguá);3;0;0;54;950.0;300.0;28.0;1278.0;17.59;23.67;Apartment
Apartamento;Barra da Tijuca;2;1;1;67;1700.0;589.0;147.0;2436.0;25.37;36.36;Apartment
Apartamento;Tijuca;2;1;0;110;1900.0;700.0;138.0;2738.0;17.27;24.89;Apartment
Casa de Condomínio;Barra da Tijuca;4;3;2;466;7500.0;2695.0;0.0;10195.0;16.09;21.88;House
Apartamento;Olaria;3;1;0;68;1000.0;670.0;0.0;1670.0;14.71;24.56;Apartment
Apartamento;Tijuca;2;1;0;78;2000.0;700.0;0.0;2700.0;25.64;34.62;Apartment
Flat;Leblon;1;0;0;56;4500.0;1900.0;1500.0;7900.0;80.36;141.07;Others
Conjunto Comercial/Sala;São Cristóvão;0;1;0;25;1100.0;600.0;0.0;1700.0;44.0;68.0;Others
Apartamento;Ipanema;3;1;1;125;7000.0;2100.0;463.0;9563.0;56.0;76.5;Apartment
Apartamento;Tijuca;1;0;0;48;750.0;772.0;25.0;1547.0;15.62;32.23;Apartment
Loja/Salão;Campo Grande;0;1;0;35;1300.0;950.0;0.0;2250.0;37.14;64.29;Others
Apartamento;Barra da Tijuca;3;3;1;175;4200.0;1500.0;500.0;6200.0;24.0;35.43;Apartment
Casa;Campo Grande;4;1;2;400;12000.0;0.0;0.0;12000.0;30.0;30.0;House
Apartamento;Botafogo;2;1;0;76;2500.0;740.0;0.0;3240.0;32.89;42.63;Apartment
Apartamento;Copacabana;3;1;2;378;10000.0;2150.0;700.0;12850.0;26.46;33.99;Apartment
Apartamento;Copacabana;3;0;0;180;5500.0;1780.0;420.0;7700.0;30.56;42.78;Apartment
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;22;700.0;0.0;0.0;700.0;31.82;31.82;Others
Apartamento;Recreio dos Bandeirantes;3;1;1;105;2300.0;648.0;0.0;2948.0;21.9;28.08;Apartment
Apartamento;Leblon;3;1;0;110;3900.0;1500.0;120.0;5520.0;35.45;50.18;Apartment
Conjunto Comercial/Sala;Centro;0;5;0;1306;117540.0;19486.0;0.0;137026.0;90.0;104.92;Others
Quitinete;Copacabana;1;0;0;27;1300.0;380.0;53.0;1733.0;48.15;64.19;Others
Apartamento;Jardim Oceânico;3;3;1;200;3500.0;1780.0;496.0;5776.0;17.5;28.88;Apartment
Apartamento;Barra da Tijuca;3;1;2;70;1800.0;1095.0;140.0;3035.0;25.71;43.36;Apartment
Conjunto Comercial/Sala;Recreio dos Bandeirantes;0;1;0;50;1500.0;250.0;0.0;1750.0;30.0;35.0;Others
Apartamento;Copacabana;4;1;0;244;5000.0;2500.0;4100.0;11600.0;20.49;47.54;Apartment
Apartamento;Barra da Tijuca;3;2;1;110;4500.0;2000.0;450.0;6950.0;40.91;63.18;Apartment
Conjunto Comercial/Sala;Centro;0;0;0;460;7500.0;4797.0;2019.0;14316.0;16.3;31.12;Others
Conjunto Comercial/Sala;Centro;0;0;0;1170;140456.0;23409.0;5852.0;169717.0;120.05;145.06;Others
Apartamento;Recreio dos Bandeirantes;2;2;2;90;3000.0;1340.0;0.0;4340.0;33.33;48.22;Apartment
Apartamento;Recreio dos Bandeirantes;3;2;2;100;2600.0;380.0;0.0;2980.0;26.0;29.8;Apartment
Apartamento;Barra da Tijuca;3;1;1;72;2350.0;600.0;70.0;3020.0;32.64;41.94;Apartment
Apartamento;Humaitá;2;2;1;180;4000.0;2500.0;300.0;6800.0;22.22;37.78;Apartment
Apartamento;Recreio dos Bandeirantes;3;1;2;92;2300.0;840.0;200.0;3340.0;25.0;36.3;Apartment
Conjunto Comercial/Sala;Centro;0;1;0;70;1900.0;1080.0;251.0;3231.0;27.14;46.16;Others
Conjunto Comercial/Sala;Jardim Botânico;0;1;0;50;4000.0;1160.0;200.0;5360.0;80.0;107.2;Others
Apartamento;Centro;1;0;0;27;750.0;371.0;19.0;1140.0;27.78;42.22;Apartment
